#P=0.5 I=1e-05 D=0.07
0 -0.032083 -0.0161552
1 -0.013886 -0.0065188
2 0.013017 0.00745034
3 -0.0112551 -0.00732669
4 -0.0455711 -0.0251881
5 0.0266528 0.0183823
6 0.0112979 0.0045742
7 -0.0148683 -0.00926592
8 -0.059438 -0.0328395
9 -0.138062 -0.0745358
10 -0.104295 -0.0497851
11 -0.00506941 0.00441107
12 0.0343939 0.0199597
13 0.00768389 0.00197232
14 -0.0793708 -0.04578
15 -0.154863 -0.0827174
16 -0.080812 -0.0352233
17 -0.0255656 -0.00891578
18 -0.0149941 -0.00675719
19 0.014443 0.00928225
20 0.0284581 0.0152104
21 0.0437017 0.0229183
22 0.0743759 0.0393359
23 0.10048 0.0520682
24 0.139884 0.0727015
25 0.167461 0.0856628
26 0.18924 0.0961465
27 0.195343 0.0981007
28 0.19066 0.0981007
29 0.195014 0.0974861
30 0.211048 0.106648
31 0.141165 0.0656918
32 0.0196089 0.00129577
33 -0.0350789 -0.0213679
34 -0.0492566 -0.0256213
35 -0.0163909 -0.00589501
36 0.0427394 0.0255093
37 -0.020924 -0.0149187
38 -0.0375357 -0.019931
39 -0.0303569 -0.0146762
40 -0.0131976 -0.0146762
41 0.0049038 0.00492019
42 0.000835263 0.000132842
43 -0.0174225 -0.00998949
44 -0.0533261 -0.0291768
45 -0.0935067 -0.0495669
46 -0.145892 -0.0766145
47 -0.189118 -0.0975865
48 -0.202802 -0.102361
49 -0.206371 -0.103438
50 -0.20751 -0.103438
51 -0.173002 -0.084167
52 -0.123634 -0.0583623
53 -0.0623615 -0.0268923
54 -0.00784271 -0.00010512
55 0.0612978 0.0354893
56 0.120216 0.0642335
57 0.162807 0.0843866
58 0.195889 0.100262
59 0.129757 0.0602507
60 0.120531 0.0602507
61 0.146683 0.0745279
62 0.182568 0.0937978
63 0.195173 0.0984705
64 0.205374 0.103403
65 0.26221 0.135086
66 0.234835 0.115504
67 0.146529 0.0670848
68 0.0473557 0.0670848
69 -0.0800377 -0.0558793
70 -0.190344 -0.102895
71 -0.26242 -0.136258
72 -0.325516 -0.167178
73 -0.36332 -0.167178
74 -0.371627 -0.189045
75 -0.362645 -0.180697
76 -0.344167 -0.170793
77 -0.305959 -0.150308
78 -0.256403 -0.124735
79 -0.204516 -0.124735
80 -0.152171 -0.068791
81 -0.101085 -0.0469673
82 -0.0390077 -0.0151588
83 0.00466245 0.00538818
84 0.0500916 0.00538818
85 0.0938538 0.0531712
86 0.130032 0.0675498
87 0.160774 0.0825407
